t,FL_hip_joint,FL_knee_joint,FL_ankle_joint,FR_hip_joint,FR_knee_joint,FR_ankle_joint,RL_hip_joint,RL_knee_joint,RL_ankle_joint,RR_hip_joint,RR_knee_joint,RR_ankle_joint
0.7721,-0.7411,-1.7289,0.7652,-0.1689,0.1297,-0.0051,0.0033,0.1327,0.0064,1.2921,-0.9931,-0.5175
0.7838,0.3042,-1.3555,0.0957,-0.1321,0.0923,-0.0099,0.1191,0.0760,-0.0077,-0.3085,1.5709,1.6438
0.7971,-0.5382,-1.3939,0.9319,-0.2054,0.1441,-0.0075,-0.0055,0.0898,0.0036,1.1857,-1.1703,-0.6456
0.8098,-1.0480,1.2146,0.7356,-0.0590,0.0393,-0.0131,0.2386,0.0767,-0.0191,0.4735,1.0782,2.1490
0.8275,-1.8622,1.3685,1.6471,-0.1372,0.0908,-0.0113,0.1153,0.0757,-0.0086,1.9381,-1.6906,-0.1531
0.8375,-0.9934,1.4497,0.8886,-0.0824,0.0428,-0.0154,0.2333,0.0491,-0.0213,0.4774,0.9302,2.0685
0.8491,-1.8598,1.3782,1.6731,-0.1391,0.0874,-0.0124,0.1160,0.0711,-0.0097,1.9379,-1.6953,-0.1693
0.8631,0.0516,-0.0183,-0.0072,-0.1786,0.0625,-0.0262,0.0694,-0.0023,-0.0121,-0.0462,2.6590,2.9495
0.9426,0.3516,-1.5474,0.0450,-0.1447,0.0853,-0.0133,0.1093,0.0668,-0.0101,-0.2880,1.4871,1.5672
0.9544,-1.7754,2.8638,2.0853,-0.1099,0.0246,-0.0270,0.4425,0.0084,-0.0445,0.7362,1.0056,2.9322
0.9660,0.3647,-1.5949,0.0285,-0.1494,0.0811,-0.0142,0.1055,0.0618,-0.0105,-0.2786,1.4541,1.5337
0.9817,-0.0409,0.5105,0.6208,0.6709,-0.0831,0.0799,0.0433,-2.8791,2.9737,-0.8820,0.5807,-0.0039
0.9931,0.1812,0.2474,0.8091,-0.0548,0.0376,-0.0029,0.0383,-0.7204,0.0773,-0.0550,0.0377,-0.0009
1.0081,0.1092,0.1758,0.6998,-0.0328,0.0357,-0.0026,0.0688,-0.6895,0.0194,-0.0572,0.0350,-0.0012
1.0178,0.3754,0.1970,0.8068,-0.1918,0.0535,-0.0171,-0.0419,-0.0987,-0.0048,0.0547,-0.0360,-0.0018
1.0278,0.0185,0.0423,0.0009,-0.0112,0.0149,0.0001,0.3302,0.6062,1.0869,-0.1727,0.0650,-0.0073
1.0378,0.7171,0.2881,0.9871,-0.1769,0.0631,-0.0121,-0.3246,0.1976,0.8141,0.0032,0.0164,-0.0022
1.0474,0.1205,0.0328,-0.0234,-0.1495,-0.0055,-0.0160,0.3545,3.0166,2.8593,-0.0755,-0.0245,-0.0128
1.1419,-0.0725,0.0167,-0.0020,0.5763,-2.4005,-0.9536,0.1152,2.9398,2.8765,-0.2207,0.2841,0.0023
1.1542,0.1662,-0.0007,-0.0287,-0.6095,-0.1187,-0.0929,-1.4802,2.9040,2.0933,1.8200,1.9818,2.9476
